borough,neighborhood,building_class_category,tax_class_at_present,block,lot,building_class_at_present,address,zip_code,residential_units,commercial_units,total_units,land_square_feet,gross_square_feet,year_built,tax_class_at_time_of_sale,building_class_at_time_of_sale,sale_price,sale_date,building_age
1,HARLEM-CENTRAL,03 THREE FAMILY DWELLINGS                  ,1,1911,4,C0,173 WEST 126 STREET,10027,3,0,3,1699.0,2596.0,1910,1,C0,60000.0,2017-06-16,107
1,HARLEM-CENTRAL,03 THREE FAMILY DWELLINGS                  ,1,1911,19,C0,129 WEST 126TH STREET,10027,3,0,3,2495.0,3335.0,2000,1,C0,2200000.0,2016-10-13,16
1,HARLEM-CENTRAL,03 THREE FAMILY DWELLINGS                  ,1,1911,20,C0,125 WEST 126TH STREET,10027,3,0,3,1665.0,3332.0,1910,1,C0,2675000.0,2016-12-14,106
1,HARLEM-CENTRAL,03 THREE FAMILY DWELLINGS                  ,1,1916,10,C0,153 WEST 131 STREET,10027,3,0,3,1699.0,3400.0,1910,1,C0,1925000.0,2017-06-27,107
1,HARLEM-CENTRAL,03 THREE FAMILY DWELLINGS                  ,1,1917,19,C0,131 WEST 132ND STREET,10027,3,0,3,1699.0,3400.0,1910,1,C0,1700000.0,2017-01-17,107
1,HARLEM-CENTRAL,03 THREE FAMILY DWELLINGS                  ,1,1918,159,C0,194 WEST 134 STREET,10030,3,0,3,1824.0,3320.0,2000,1,C0,1920000.0,2017-07-26,17
1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2A,1718,119,C3,49 WEST 119 STREET,10026,4,0,4,1682.0,2700.0,1909,2,C3,1320000.0,2017-02-28,108
1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2A,1718,119,C3,49 WEST 119 STREET,10026,4,0,4,1682.0,2700.0,1909,2,C3,180000.0,2017-02-28,108
1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2A,1725,28,C5,17 WEST 127TH STREET,10027,5,0,5,1799.0,4603.0,1909,2,C5,842500.0,2017-02-15,108
1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2A,1726,22,C3,35 WEST 128 STREET,10027,4,0,4,1249.0,2058.0,1910,2,C3,1431326.0,2017-08-07,107
1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2A,1749,5,C9,3 EAST 124 STREET,10035,4,0,4,2018.0,2994.0,1900,2,C9,1100000.0,2017-01-10,117
1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2A,1749,107,C2,9 EAST 124TH STREET,10035,6,0,6,2018.0,2994.0,1910,2,C2,2150000.0,2016-11-22,106
